customer_id,orders_placed,total_spend,is_premium,pet_type
1,4,6406,True,Dog
2,0,0,True,Dog
3,1,1132,True,Dog
4,1,1900,True,Dog
5,0,0,False,Dog
6,0,0,True,Dog
7,2,2831,False,Cat
8,2,6057,True,Dog
9,0,0,False,Dog
10,0,0,False,Dog
11,2,4716,True,Dog
12,2,3007,False,Dog
13,4,5761,True,Dog
14,1,753,True,Dog
15,0,0,False,Cat
16,2,4912,True,Cat
17,2,3878,True,Dog
18,1,1978,True,Cat
19,2,9585,True,Cat
20,1,718,True,Dog
21,2,1509,False,Cat
22,1,554,False,Dog
23,2,2087,False,Cat
24,2,3335,False,Dog
25,3,7770,False,Cat
26,0,0,False,Dog
27,0,0,True,Cat
28,2,6651,True,Dog
29,3,6119,False,Dog
30,1,1849,True,Cat
31,1,1181,False,Cat
32,3,8023,False,Dog
33,2,8317,True,Both
34,1,711,True,Both
35,3,8191,True,Dog
36,2,1524,True,Dog
37,4,12236,True,Cat
38,1,4102,True,Dog
39,2,2567,True,Cat
40,2,3475,True,Cat
41,1,1071,False,Cat
42,3,2722,False,Both
43,1,998,False,Both
44,0,0,True,Cat
45,1,1964,True,Dog
46,1,2216,True,Dog
47,2,2011,False,Dog
48,1,522,False,Cat
49,3,5369,False,Cat
50,1,404,True,Cat
51,2,3569,False,Dog
52,1,1051,True,Dog
53,2,3334,True,Dog
54,1,2195,False,Dog
55,2,2272,False,Dog
56,1,2191,False,Cat
57,2,3375,True,Dog
58,2,1040,True,Both
59,1,654,False,Cat
60,1,2243,False,Dog
61,1,2680,False,Both
62,0,0,False,Cat
63,1,578,True,Dog
64,0,0,False,Cat
65,1,2259,True,Dog
66,2,5076,True,Both
67,0,0,False,Cat
68,1,1958,True,Both
69,1,3388,True,Cat
70,1,124,False,Cat
71,2,2189,True,Dog
72,0,0,False,Dog
73,0,0,True,Both
74,3,5224,True,Cat
75,0,0,False,Cat
76,0,0,True,Both
77,0,0,False,Dog
78,2,5193,True,Both
79,2,4901,True,Cat
80,0,0,True,Dog
81,0,0,False,Dog
82,0,0,False,Cat
83,3,8120,True,Both
84,1,623,True,Dog
85,1,256,False,Dog
86,3,2209,False,Cat
87,2,1256,True,Dog
88,0,0,True,Dog
89,2,2977,False,Dog
90,3,10412,True,Cat
91,0,0,False,Dog
92,2,1686,True,Cat
93,0,0,True,Cat
94,3,7265,True,Both
95,3,10458,False,Dog
96,0,0,True,Cat
97,1,5193,True,Dog
98,1,1098,False,Cat
99,0,0,False,Cat
100,0,0,False,Cat
101,1,2461,True,Dog
102,1,3850,True,Both
103,0,0,False,Cat
104,2,1618,True,Cat
105,1,2597,False,Cat
106,2,3674,True,Cat
107,1,2741,False,Dog
108,1,554,False,Cat
109,2,3959,False,Dog
110,1,355,False,Dog
111,1,3231,False,Cat
112,1,2154,False,Cat
113,1,523,False,Dog
114,1,623,False,Dog
115,0,0,False,Dog
116,2,6595,False,Cat
117,0,0,False,Cat
118,1,3557,True,Cat
119,0,0,True,Dog
120,0,0,True,Dog
121,2,1834,False,Cat
122,4,9624,True,Dog
123,1,1422,False,Dog
124,1,2988,False,Cat
125,0,0,False,Cat
126,2,5430,False,Cat
127,1,1370,False,Dog
128,2,915,False,Dog
129,0,0,False,Cat
130,0,0,True,Dog
131,0,0,True,Dog
132,2,2216,True,Dog
133,0,0,False,Dog
134,2,5052,True,Cat
135,0,0,True,Cat
136,1,522,False,Dog
137,0,0,True,Cat
138,1,623,False,Dog
139,1,3286,True,Dog
140,1,1454,True,Both
